---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:22:41 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:13 (uptime: 0d, 00h 00m 40s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 175
capture.afpacket.polls                                       | Total                     | 3114
capture.afpacket.poll_timeout                                | Total                     | 3081
capture.afpacket.poll_data                                   | Total                     | 33
decoder.pkts                                                 | Total                     | 175
decoder.bytes                                                | Total                     | 45185
decoder.ipv4                                                 | Total                     | 175
decoder.ethernet                                             | Total                     | 175
decoder.tcp                                                  | Total                     | 175
tcp.syn                                                      | Total                     | 8
tcp.synack                                                   | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 258
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 21
flow.active                                                  | Total                     | 21
flow.tcp                                                     | Total                     | 21
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.segment_from_cache                                       | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 40
app_layer.flow.http                                          | Total                     | 8
app_layer.tx.http                                            | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 3
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 20
flow.mgr.flows_notimeout                                     | Total                     | 20
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 976896
http.memuse                                                  | Total                     | 2688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:21 (uptime: 0d, 00h 00m 48s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 191
capture.afpacket.polls                                       | Total                     | 3630
capture.afpacket.poll_timeout                                | Total                     | 3586
capture.afpacket.poll_data                                   | Total                     | 44
decoder.pkts                                                 | Total                     | 201
decoder.bytes                                                | Total                     | 46901
decoder.ipv4                                                 | Total                     | 201
decoder.ethernet                                             | Total                     | 201
decoder.tcp                                                  | Total                     | 201
tcp.syn                                                      | Total                     | 8
tcp.synack                                                   | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 233
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 21
flow.active                                                  | Total                     | 21
flow.tcp                                                     | Total                     | 21
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.segment_from_cache                                       | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 40
app_layer.flow.http                                          | Total                     | 8
app_layer.tx.http                                            | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 4
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 21
flow.mgr.flows_notimeout                                     | Total                     | 21
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 976896
http.memuse                                                  | Total                     | 2688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:29 (uptime: 0d, 00h 00m 56s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 201
capture.afpacket.polls                                       | Total                     | 4318
capture.afpacket.poll_timeout                                | Total                     | 4274
capture.afpacket.poll_data                                   | Total                     | 44
decoder.pkts                                                 | Total                     | 201
decoder.bytes                                                | Total                     | 46901
decoder.ipv4                                                 | Total                     | 201
decoder.ethernet                                             | Total                     | 201
decoder.tcp                                                  | Total                     | 201
tcp.syn                                                      | Total                     | 8
tcp.synack                                                   | Total                     | 8
decoder.avg_pkt_size                                         | Total                     | 233
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 8
flow.total                                                   | Total                     | 21
flow.active                                                  | Total                     | 21
flow.tcp                                                     | Total                     | 21
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 8
tcp.ssn_from_pool                                            | Total                     | 8
tcp.segment_from_cache                                       | Total                     | 6
tcp.segment_from_pool                                        | Total                     | 40
app_layer.flow.http                                          | Total                     | 8
app_layer.tx.http                                            | Total                     | 8
flow.mgr.full_hash_pass                                      | Total                     | 5
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 9200
flow.mgr.rows_maxlen                                         | Total                     | 1
flow.mgr.flows_checked                                       | Total                     | 21
flow.mgr.flows_notimeout                                     | Total                     | 21
memcap.pressure                                              | Total                     | 7
memcap.pressure_max                                          | Total                     | 7
defrag.memuse                                                | Total                     | 33554432
tcp.memuse                                                   | Total                     | 4980736
tcp.reassembly_memuse                                        | Total                     | 976896
http.memuse                                                  | Total                     | 2688
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7234304
---------------------------------------------------------------------------------------------------
Date: 5/6/2026 -- 02:23:37 (uptime: 0d, 00h 01m 04s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 453
capture.afpacket.polls                                       | Total                     | 5073
capture.afpacket.poll_timeout                                | Total                     | 4968
capture.afpacket.poll_data                                   | Total                     | 105
decoder.pkts                                                 | Total                     | 528
decoder.bytes                                                | Total                     | 156592
decoder.ipv4                                                 | Total                     | 528
decoder.ethernet                                             | Total                     | 528
decoder.tcp                                                  | Total                     | 528
tcp.syn                                                      | Total                     | 25
tcp.synack                                                   | Total                     | 25
decoder.avg_pkt_size                                         | Total                     | 296
decoder.max_pkt_size                                         | Total                     | 1514
tcp.active_sessions                                          | Total                     | 25
flow.total                                                   | Total                     | 38
flow.active                                                  | Total                     | 38
flow.tcp                                                     | Total                     | 38
flow.wrk.spare_sync_avg                                      | Total                     | 100
flow.wrk.spare_sync                                          | Total                     | 8
tcp.sessions                                                 | Total                     | 25
tcp.ssn_from_pool                                            | Total                     | 25
tcp.segment_from_cache                                       | Total                     | 105
tcp.segment_from_pool                                        | Total                     | 60
tcp.overlap                                                  | Total                     | 3
app_layer.flow.http                                          | Total                     | 14
app_layer.tx.http                                            | Total                     | 14
app_layer.flow.tls                                           | Total                     | 11
flow.mgr.full_hash_pass                                      | Total                     | 6
